,Language,Primary Country,"Total
Countries","Speakers
(millions)"
1,Chinese [zho],China,33,1197
2,Spanish [spa],Spain,31,414
3,English [eng],United Kingdom,99,335
4,Hindi [hin],India,4,260
5,Arabic [ara],Saudi Arabia,60,237
6,Portuguese [por],Portugal,12,203
7,Bengali [ben],Bangladesh,4,193
8,Russian [rus],Russian Federation,16,167
9,Japanese [jpn],Japan,3,122
10,Javanese [jav],Indonesia,3,84.3
11,Lahnda [lah],Pakistan,6,82.6
12,"German, Standard [deu]",Germany,18,78.2
13,Korean [kor],South Korea,5,77.2
14,French [fra],France,51,75
15,Telugu [tel],India,2,74
16,Marathi [mar],India,1,71.8
17,Turkish [tur],Turkey,8,70.8
18,Tamil [tam],India,6,68.8
19,Vietnamese [vie],Viet Nam,3,67.8
20,Urdu [urd],Pakistan,6,63.9
21,Italian [ita],Italy,10,63.7
22,Malay [msa],Malaysia,13,59.5
23,Persian [fas],Iran,29,56.6