Mes  ,2008  ,2009  ,2010  ,2011  ,2012  
Gener  ,54.804  ,80.207  ,105.073  ,105.456  ,112.747  
Febrer  ,56.340  ,84.278  ,106.961  ,107.928  ,113.736  
Març  ,56.867  ,88.206  ,108.292  ,109.153  ,113.528  
Abril  ,57.687  ,89.865  ,106.836  ,108.203  ,113.402  
Maig  ,58.629  ,89.941  ,103.907  ,106.774  ,112.585  
Juny  ,59.374  ,87.917  ,101.089  ,104.784  ,110.521  
Juliol  ,61.404  ,90.563  ,99.844  ,104.929  ,110.675  
Agost  ,64.368  ,94.853  ,102.648  ,107.625  ,112.381  
Setembre  ,65.356  ,96.250  ,101.972  ,108.250  ,112.088  
Octubre  ,68.344  ,97.722  ,102.704  ,109.266  ,112.479  
Novembre  ,71.510  ,99.798  ,102.364  ,109.265  ,113.319  
Desembre  ,74.304  ,101.069  ,100.868  ,108.624  ,112.192  