Estació  ,Mitjana  anual  ,Gen.  ,Feb.  ,Mar.  ,Abr.  ,Mai.  ,Jun.  ,Jul.  ,Ago.  ,Set.  ,Oct.  ,Nov.  ,Des.  
2008  ,35  ,12  ,23  ,37  ,43  ,49  ,46  ,51  ,50  ,44  ,26  ,18  ,17  
2009  ,39  ,20  ,27  ,36  ,51  ,50  ,51  ,47  ,51  ,53  ,32  ,24  ,21  
2010  ,44  ,26  ,34  ,42  ,47  ,52  ,55  ,63  ,65  ,58  ,44  ,26  ,18  
2011  ,40  ,19  ,27  ,45  ,55  ,50  ,45  ,51  ,48  ,46  ,39  ,27  ,23  
2012  ,44  ,20  ,33  ,45  ,61  ,58  ,55  ,57  ,57  ,55  ,37  ,25  ,27  
Gràcia-Sant Gervasi  ,37  ,16  ,24  ,35  ,52  ,49  ,45  ,48  ,49  ,48  ,33  ,17  ,20  
Ciutadella  ,40  ,16  ,32  ,44  ,59  ,51  ,51  ,52  ,51  ,51  ,34  ,19  ,22  
Eixample   ,33  ,13  ,22  ,34  ,47  ,47  ,42  ,47  ,47  ,43  ,25  ,13  ,17  
Vall d'Hebron  ,57  ,29  ,46  ,61  ,74  ,72  ,70  ,70  ,68  ,68  ,49  ,39  ,40  
Palau Reial  ,53  ,26  ,39  ,51  ,69  ,68  ,65  ,69  ,68  ,66  ,43  ,33  ,37  