Nom       ,Superfície Ha  
2008       ,"557,2  "
2009       ,"559,5  "
2010       ,"559,5  "
2011       ,"559,5  "
2012       ,"577,4  "
1. Ciutat Vella       ,"37,2  "
     Parc de la Ciutadella  ,"31,0  "
     Jardins de Sant Pau del Camp  ,"1,6  "
     Parc de la Barceloneta  ,"3,2  "
     Parc de les Cascades  ,"1,4  "
2. Eixample       ,"11,1  "
     Parc de Joan Miró  ,"4,7  "
     Parc de l'Estació del Nord  ,"4,9  "
     Jardins de la Universitat Central  ,"1,1  "
     Jardins del Palau Robert  ,"0,5  "
3. Sants-Montjuïc       ,"260,0  "
     Parc de Can Sabaté  ,"1,8  "
     Jardins de Mossèn Cinto Verdaguer  ,"4,3  "
     Jardins de Mossèn Costa i Llobera  ,"6,2  "
     Jardins Joan Maragall  ,"3,6  "
     Parc de l'Espanya Industrial  ,"4,6  "
     Parc de Montjuïc  ,"196,0  "
     Mirador del Migdia  ,"8,9  "
     Mirador del Poble Sec  ,"2,8  "
     Parc de la Font Florida  ,"2,5  "
     Jardins del Mirador  ,"1,6  "
     Jardí de les Tres Ximeneies  ,"0,9  "
     Jardins del Teatre Grec   ,"1,7  "
     Jardins de Laribal  ,"3,1  "
     Jardí d'Aclimatació  ,"0,9  "
     Jardins de Joan Brossa  ,"5,2  "
     Jardins de Primavera  ,"1,9  "
     Antic Jardí Botànic  ,"1,9  "
     Jardí Botànic  ,"10,9  "
     Jardins dels Drets Humans  ,"1,3  "
4. Les Corts       ,"28,2  "
     Jardins del Palau de Pedralbes  ,"7,3  "
     Parc de Cervantes - Roserar  ,"9,8  "
     Plaça de les Corts  ,"0,7  "
     Jardins de la Maternitat (1)  ,"7,7  "
     Jardins de la Font dels Ocellets  ,"1,3  "
     Jaume Vicens Vives  ,"1,4  "
5. Sarrià-Sant Gervasi       ,"40,2  "
     Parc del la Font del Racó  ,"1,3  "
     Parc de Monterols  ,"1,9  "
     Parc de Moragas  ,"0,4  "
     Parc Turó del Putget  ,"5,4  "
     Jardins de Vil.la Amèlia  ,"2,5  "
     Parc del Castell de l'Oreneta  ,"17,2  "
     Turó Parc  ,"2,9  "
     Jardins de Vil.la Cecilia  ,"1,5  "
     Parc de Can Castelló  ,"0,4  "
     Jardins de Ca n'Altimira  ,"0,4  "
     Jardins de la Tamarita  ,"1,0  "
     Jardí de Can Sentmenat  ,"1,0  "
     Parc de Joan Raventós  ,"1,1  "
     Jardins de la Vila Florida  ,"0,2  "
     Jardins de Portolà  ,"0,1  "
     Jardí de Piscines i Esports  ,"1,7  "
     Jardins del Camp de Sarrià  ,"1,2  "
6. Gràcia       ,"19,3  "
     Parc de la Creueta del Coll  ,"2,1  "
     Parc Güell  ,"17,2  "
7. Horta-Guinardó       ,"49,4  "
     Parc del Laberint  ,"9,7  "
     Parc de les Aigües del Guinardó  ,"2,0  "
     Parc de la Vall d'Hebron  ,"8,2  "
     Jardí Príncep de Girona  ,"1,8  "
     Parc del Guinardó  ,"19,0  "
     Jardins del Palau de les Heures  ,"3,5  "
     Jardins de Rosa Luxemburg  ,"1,4  "
     Parc de Xavier Montsalvatge  ,"2,1  "
     Jardins de Frida Khalo  ,"1,8  "
8. Nou Barris       ,"44,3  "
     Parc de la Guineueta  ,"3,0  "
     Parc Turó de la Peira  ,"7,7  "
     Parc Josep Maria Serra Martí  ,"4,5  "
     Parc Esportiu de Can Dragó  ,"11,9  "
     Parc del Pla de Fornells  ,"2,5  "
     Parc Central de Nou Barris   ,"13,2  "
     Plaça Sóller  ,"1,5  "
9. Sant Andreu       ,"14,5  "
     Parc de la Pegaso  ,"3,7  "
     Parc de la Trinitat  ,"7,3  "
     Parc de la Maquinista de Sant Andreu  ,"2,1  "
     Plaça de Can Fabra  ,"1,5  "
10. Sant Martí       ,"73,2  "
     Parc del Clot  ,"4,0  "
     Parc de Carles I  ,"5,5  "
     Parc de Nova Icària  ,"6,3  "
     Parc del Poblenou  ,"11,9  "
     Parc del Port Olímpic  ,"3,0  "
     Parc de Sant Martí  ,"6,8  "
     Parc de Diagonal Mar  ,"14,3  "
     Parc dels Auditoris  ,"3,9  "
     Parc Lineal Garcia Faria  ,"5,3  "
     Parc Lineal de la Gran Via  ,"3,0  "
     Parc del Centre del Poble Nou  ,"4,3  "
     Parc del Camp de la Bota  ,"3,3  "
     Jardins del Clot de la mel  ,"1,5  "